귀소일자,지역명,현장소방서거리,현장안전센터거리,최대풍속,온도,습도,전체인력수합계,,,,,,,,,,,,,,
20190405,강원도 강릉시,27,12,5.6,16,18,16742,,,,,,,,,,,,,,
20220308,강원도 양양군,34,6,8.5,11,35,13864,,,,,,,,,,,,,,
20180329,강원도 강릉시,3,8,6.7,18,35,7174,,,,,,,,,,,,,,
20190407,강원도 홍천군,32,5,12.3,15,17,6657,,,,,,,,,,,,,,
20220309,강원도 원주시,29,8,9.1,12,22,4058,,,,,,,,,,,,,,
20150211,강원도 원주시,45,12,8.4,-10,26,3743,,,,,,,,,,,,,,
20190405,강원도 영월군,6,6,7.6,15,26,3559,,,,,,,,,,,,,,
20220412,강원도 횡성군,2,2,7.1,26,12,3354,,,,,,,,,,,,,,
20170509,강원도 영월군,14,12,11,22,12,2840,,,,,,,,,,,,,,
20170310,강원도 홍천군,30,4,7.1,7,24,2456,,,,,,,,,,,,,,
20110201,강원도 화천군,43,13,9.7,1,10,1872,,,,,,,,,,,,,,
20190102,강원도 정선군,11,11,5.2,2,19,1862,,,,,,,,,,,,,,
20220424,강원도 춘천시,16,18,6.8,21,50,1788,,,,,,,,,,,,,,
20120420,강원도 강릉시,15,15,11.3,14,56,1264,,,,,,,,,,,,,,
20180115,강원도 철원군,10,10,11.5,6,53,1229,,,,,,,,,,,,,,
20220412,강원도 양구군,27,19,6,22,24,1158,,,,,,,,,,,,,,
20170510,강원도 양구군,38,11,3.8,21,24,1140,,,,,,,,,,,,,,
20210219,강원도 화천군,7,7,9.2,-1,32,1028,,,,,,,,,,,,,,
20210219,강원도 영월군,7,7,8.1,-1,32,1028,,,,,,,,,,,,,,
20160401,강원도 삼척시,50,6,7.2,24,18,953,,,,,,,,,,,,,,
20110413,강원도 양양군,24,7,9.3,23,11,936,,,,,,,,,,,,,,
20220305,강원도 춘천시,7,7,8.5,8,51,915,,,,,,,,,,,,,,
20150326,강원도 춘천시,10,10,6.1,14,32,783,,,,,,,,,,,,,,
20150323,강원도 횡성군,20,20,8.1,8,14,732,,,,,,,,,,,,,,
20191231,강원도 인제군,26,10,4.9,-9,36,727,,,,,,,,,,,,,,
20130308,강원도 횡성군,50,13,6.4,14,35,721,,,,,,,,,,,,,,
20180420,강원도 철원군,26,11,9.1,21,49,633,,,,,,,,,,,,,,
20140324,강원도 삼척시,13,7,10.6,15,31,615,,,,,,,,,,,,,,
20150324,강원도 양양군,16,16,6,0,0,590,,,,,,,,,,,,,,
20160206,강원도 삼척시,48,7,8.3,-1,34,585,,,,,,,,,,,,,,
20221214,강원도 춘천시,16,6,9.1,-4,7,553,,,,,,,,,,,,,,
20190317,강원도 양구군,9,7,11.1,11,34,538,,,,,,,,,,,,,,
20150308,강원도 화천군,22,14,10.6,8,61,529,,,,,,,,,,,,,,
20150328,강원도 홍천군,20,0,6.4,17,5,520,,,,,,,,,,,,,,
20150423,강원도 홍천군,33,11,10.2,24,17,515,,,,,,,,,,,,,,
20220413,강원도 춘천시,20,10,7.1,23,22,506,,,,,,,,,,,,,,
20160219,강원도 인제군,7,3,5,8,41,504,,,,,,,,,,,,,,
20160120,강원도 양구군,9,9,10.9,-7,25,490,,,,,,,,,,,,,,
20130416,강원도 철원군,68,30,6.7,9,32,480,,,,,,,,,,,,,,
20120111,강원도 철원군,11,11,9.4,-3,39,475,,,,,,,,,,,,,,
20180422,강원도 양구군,9,9,8.7,25,15,471,,,,,,,,,,,,,,
20220222,강원도 화천군,13,7,8.4,1,18,462,,,,,,,,,,,,,,
20190506,강원도 고성군,16,16,8,27,17,457,,,,,,,,,,,,,,
20150325,강원도 양양군,25,19,8.9,12,14,445,,,,,,,,,,,,,,
20160331,강원도 인제군,46,6,6.1,17,12,442,,,,,,,,,,,,,,
20210221,강원도 원주시,29,28,6.5,12,30,421,,,,,,,,,,,,,,
20210221,강원도 강릉시,28,27,6.5,11,30,421,,,,,,,,,,,,,,
20191211,강원도 춘천시,6,6,7.7,7,45,411,,,,,,,,,,,,,,
20140307,강원도 속초시,12,20,8.3,2,17,411,,,,,,,,,,,,,,
20140426,강원도 고성군,42,9,13,20,34,395,,,,,,,,,,,,,,
20200415,강원도 홍천군,14,15,9.5,21,0,395,,,,,,,,,,,,,,
20121226,강원도 원주시,59,23,6.4,-8,42,385,,,,,,,,,,,,,,
20200326,강원도 홍천군,2,2,9.6,19,33,383,,,,,,,,,,,,,,
20210209,강원도 홍천군,20,12,10.6,6,27,369,,,,,,,,,,,,,,
20210209,강원도 강릉시,20,11,10.6,6,27,369,,,,,,,,,,,,,,
20140415,강원도 홍천군,53,22,11.3,23,0,352,,,,,,,,,,,,,,
20220519,강원도 양구군,40,30,7.3,18,30,343,,,,,,,,,,,,,,
20191031,강원도 강릉시,19,19,4.2,19,46,342,,,,,,,,,,,,,,
20221126,강원도 횡성군,6,6,10.8,15,46,341,,,,,,,,,,,,,,
20150322,강원도 고성군,29,17,7.3,15,7,337,,,,,,,,,,,,,,
